Date,STELLANTIS
30/07/2024,15.486
31/07/2024,15.404
01/08/2024,15.190
02/08/2024,14.684
05/08/2024,14.304
06/08/2024,14.170
07/08/2024,14.238
08/08/2024,14.238
09/08/2024,14.064
12/08/2024,13.980
13/08/2024,13.878
14/08/2024,14.096
16/08/2024,14.366
19/08/2024,14.732
20/08/2024,14.734
21/08/2024,14.878
22/08/2024,14.736
23/08/2024,14.966
26/08/2024,14.934
27/08/2024,15.020
28/08/2024,14.988
29/08/2024,15.146
30/08/2024,15.138
02/09/2024,15.020
03/09/2024,14.606
04/09/2024,14.534
05/09/2024,14.294
06/09/2024,14.060
09/09/2024,14.064
10/09/2024,13.680
11/09/2024,13.620
12/09/2024,13.512
13/09/2024,13.614
16/09/2024,13.590
17/09/2024,13.642
18/09/2024,13.664
19/09/2024,13.950
20/09/2024,13.470
23/09/2024,13.778
24/09/2024,13.994
25/09/2024,13.784
26/09/2024,13.992
27/09/2024,14.550
30/09/2024,12.408
01/10/2024,12.428
02/10/2024,12.408
03/10/2024,11.912
04/10/2024,12.120
07/10/2024,12.214
08/10/2024,11.988
09/10/2024,12.220
10/10/2024,12.194
11/10/2024,11.856
14/10/2024,12.042
15/10/2024,12.002
16/10/2024,12.010
17/10/2024,11.956
18/10/2024,12.184
21/10/2024,11.926
22/10/2024,12.020
23/10/2024,12.380
24/10/2024,12.560
25/10/2024,12.672
28/10/2024,12.704
29/10/2024,12.398
30/10/2024,12.238
31/10/2024,12.596
01/11/2024,12.724
04/11/2024,12.608
05/11/2024,12.650
06/11/2024,12.872
07/11/2024,13.020
08/11/2024,12.538
11/11/2024,12.762
12/11/2024,12.540
13/11/2024,12.460
14/11/2024,12.792
15/11/2024,12.702
18/11/2024,12.656
19/11/2024,12.388
20/11/2024,12.208
21/11/2024,12.170
22/11/2024,12.514
25/11/2024,12.814
26/11/2024,12.200
27/11/2024,12.136
28/11/2024,12.350
29/11/2024,12.536
02/12/2024,11.746
03/12/2024,11.934
04/12/2024,12.090
05/12/2024,12.548
06/12/2024,12.948
09/12/2024,13.146
10/12/2024,13.274
11/12/2024,13.194
12/12/2024,13.208
13/12/2024,13.348
16/12/2024,12.730
17/12/2024,12.758
18/12/2024,12.744
19/12/2024,12.362
20/12/2024,12.378
23/12/2024,12.342
27/12/2024,12.596
30/12/2024,12.590
02/01/2025,12.620
03/01/2025,12.176
06/01/2025,12.652
07/01/2025,12.788
08/01/2025,12.450
09/01/2025,12.420
10/01/2025,12.276
13/01/2025,12.040
