Data	Prezzo	Rendimento	Volume
2023-08-03	17.892	-0.0091	11604493
2023-08-04	17.858	-0.0019	10532614
2023-08-07	17.804	-0.0030	8928725
2023-08-08	17.554	-0.0140	6801416
2023-08-09	17.396	-0.0090	9271492
2023-08-10	17.450	0.0031	8177678
2023-08-11	16.850	-0.0344	8216296
2023-08-14	16.898	0.0028	16122254
2023-08-16	16.668	-0.0136	7733995
2023-08-17	16.476	-0.0115	8389896
2023-08-18	16.354	-0.0074	7981840
2023-08-21	16.644	0.0177	9934391
2023-08-22	16.716	0.0043	9118417
2023-08-23	16.734	0.0011	8069077
2023-08-24	16.546	-0.0112	6291950
2023-08-25	16.720	0.0105	7091036
2023-08-28	16.932	0.0127	7526567
2023-08-29	17.220	0.0170	6607847
2023-08-30	17.166	-0.0031	8358873
2023-08-31	17.176	0.0006	7113130
2023-09-01	16.800	-0.0219	11569859
2023-09-04	16.816	0.0010	11666523
2023-09-05	16.906	0.0054	4504238
2023-09-06	16.920	0.0008	9174981
2023-09-07	16.952	0.0019	8703043
2023-09-08	17.000	0.0028	7200222
2023-09-11	17.376	0.0221	7100852
2023-09-12	17.826	0.0259	10739743
2023-09-13	17.768	-0.0033	13811222
2023-09-14	17.574	-0.0109	11288726
2023-09-15	17.906	0.0189	16709197
2023-09-18	17.786	-0.0067	36133559
2023-09-19	18.052	0.0150	9089277
2023-09-20	18.616	0.0312	9785322
2023-09-21	18.162	-0.0244	15667041
2023-09-22	18.286	0.0068	11981684
2023-09-25	18.068	-0.0119	10861132
2023-09-26	17.982	-0.0048	8996455
2023-09-27	17.858	-0.0069	8040008
2023-09-28	18.164	0.0171	7850062
2023-09-29	18.210	0.0025	9633268
2023-10-02	18.100	-0.0060	8286197
2023-10-03	17.806	-0.0162	6654355
2023-10-04	17.726	-0.0045	6605190
2023-10-05	17.822	0.0054	10282272
2023-10-06	17.998	0.0099	5527172
2023-10-09	17.998	0.0000	6402353
2023-10-10	18.556	0.0310	7627362
2023-10-11	18.938	0.0206	11675755
2023-10-12	18.908	-0.0016	18706463
2023-10-13	18.830	-0.0041	10633081
2023-10-16	18.700	-0.0069	19599981
2023-10-17	18.894	0.0104	9251387
2023-10-18	18.772	-0.0065	6399295
2023-10-19	18.086	-0.0365	10750727
2023-10-20	17.648	-0.0242	15280650
2023-10-23	18.022	0.0212	12942091
2023-10-24	17.726	-0.0164	9709691
2023-10-25	17.778	0.0029	8865600
2023-10-26	17.672	-0.0060	7189477
2023-10-27	17.318	-0.0200	10665707
2023-10-30	17.040	-0.0161	12450326
2023-10-31	17.600	0.0329	14323388
2023-11-01	17.942	0.0194	14182437
2023-11-02	18.336	0.0220	9681075
2023-11-03	18.696	0.0196	11841806
2023-11-06	18.326	-0.0198	9445207
2023-11-07	18.086	-0.0131	7920896
2023-11-08	18.312	0.0125	5939653
2023-11-09	18.126	-0.0102	5793756
2023-11-10	17.982	-0.0079	5976783
2023-11-13	18.314	0.0185	6944719
2023-11-14	18.672	0.0195	7206261
2023-11-15	18.878	0.0110	10515963
2023-11-16	18.498	-0.0201	8814700
2023-11-17	18.470	-0.0015	7964023
2023-11-20	18.894	0.0230	7599546
2023-11-21	18.556	-0.0179	6718490
2023-11-22	18.564	0.0004	6250886
2023-11-23	18.672	0.0058	4843671
2023-11-24	18.798	0.0067	3943433
2023-11-27	18.748	-0.0027	4672931
2023-11-28	18.730	-0.0010	5605580
2023-11-29	19.714	0.0525	5832941
2023-11-30	19.902	0.0095	20868840
2023-12-01	20.105	0.0102	17250168
2023-12-04	20.305	0.0099	8606427
2023-12-05	20.465	0.0079	6866528
2023-12-06	21.060	0.0291	8992854
2023-12-07	20.915	-0.0069	17690685
2023-12-08	21.025	0.0053	9131440
2023-12-11	21.010	-0.0007	7284531
2023-12-12	20.970	-0.0019	6413676
2023-12-13	20.910	-0.0029	7923808
2023-12-14	21.260	0.0167	9328850
2023-12-15	21.545	0.0134	11600139
2023-12-18	21.515	-0.0014	19511083
2023-12-19	21.285	-0.0107	6076076
2023-12-20	21.240	-0.0021	7293863
2023-12-21	21.245	0.0002	4630510
2023-12-22	21.225	-0.0009	4775381
2023-12-27	21.230	0.0002	3446702
2023-12-28	21.185	-0.0021	3307983
2023-12-29	21.150	-0.0017	2852288
2024-01-02	21.175	0.0012	3003256
2024-01-03	20.450	-0.0342	6555080
2024-01-04	20.425	-0.0012	9454107
2024-01-05	20.510	0.0042	6889893
2024-01-08	20.670	0.0078	5771746
2024-01-09	20.555	-0.0056	5032487
2024-01-10	20.780	0.0109	4708004
2024-01-11	20.610	-0.0082	6468348
2024-01-12	20.455	-0.0075	7320207
2024-01-15	20.135	-0.0156	6380237
2024-01-16	19.916	-0.0109	6731316
2024-01-17	19.638	-0.0140	10179530
2024-01-18	19.838	0.0102	8907360
2024-01-19	19.670	-0.0085	6361284
2024-01-22	19.700	0.0015	5194364
2024-01-23	19.566	-0.0068	5777769
2024-01-24	19.564	-0.0001	7828394
2024-01-25	19.422	-0.0073	7315196
2024-01-26	19.524	0.0053	7940169
2024-01-29	19.474	-0.0026	5641798
2024-01-30	20.220	0.0383	4438527
2024-01-31	20.495	0.0136	13766227
2024-02-01	20.770	0.0134	9144243
2024-02-02	21.250	0.0231	9356392
2024-02-05	21.075	-0.0082	11183329
2024-02-06	21.450	0.0178	9651866
2024-02-07	21.675	0.0105	8926137
2024-02-08	22.135	0.0212	12047506
2024-02-09	22.465	0.0149	12290046
2024-02-12	22.640	0.0078	9318870
2024-02-13	22.390	-0.0110	9176164
2024-02-14	22.575	0.0083	8037810
2024-02-15	23.870	0.0574	6464782
2024-02-16	23.775	-0.0040	26185430
2024-02-19	23.615	-0.0067	12409794
2024-02-20	23.400	-0.0091	6918154
2024-02-21	23.540	0.0060	7143163
2024-02-22	24.230	0.0293	5523341
2024-02-23	24.610	0.0157	14623406
2024-02-26	24.305	-0.0124	9394967
2024-02-27	24.245	-0.0025	8443725
2024-02-28	24.365	0.0049	7049915
2024-02-29	24.135	-0.0094	9600693
2024-03-01	24.435	0.0124	11063363
2024-03-04	24.625	0.0078	7631742
2024-03-05	24.730	0.0043	6389811
2024-03-06	25.000	0.0109	8072102
2024-03-07	25.180	0.0072	10037443
2024-03-08	25.105	-0.0030	9368599
2024-03-11	25.295	0.0076	6583981
2024-03-12	25.765	0.0186	10537917
2024-03-13	25.435	-0.0128	10493291
2024-03-14	25.370	-0.0026	7650149
2024-03-15	26.030	0.0260	7737145
2024-03-18	26.150	0.0046	16946459
2024-03-19	26.610	0.0176	6669547
2024-03-20	26.660	0.0019	6869381
2024-03-21	26.915	0.0096	6765880
2024-03-22	26.935	0.0007	11374567
2024-03-25	27.155	0.0082	6318450
2024-03-26	26.580	-0.0212	6499778
2024-03-27	26.685	0.0040	10367706
2024-03-28	26.345	-0.0127	4620908
2024-04-02	25.480	-0.0328	7440740
2024-04-03	25.015	-0.0182	15323481
2024-04-04	25.050	0.0014	14198715
2024-04-05	24.600	-0.0180	7012430
2024-04-08	24.895	0.0120	9693283
2024-04-09	25.075	0.0072	5674371
2024-04-10	25.230	0.0062	7146791
2024-04-11	25.210	-0.0008	6806380
2024-04-12	24.385	-0.0327	7008730
2024-04-15	24.995	0.0250	9377404
2024-04-16	24.250	-0.0298	9469980
2024-04-17	24.270	0.0008	9118960
2024-04-18	24.350	0.0033	5664107
2024-04-19	24.230	-0.0049	6855279
2024-04-22	23.135	-0.0452	8589822
2024-04-23	23.305	0.0073	11791198
2024-04-24	23.275	-0.0013	12197084
2024-04-25	22.890	-0.0165	9249350
2024-04-26	23.045	0.0068	10823572
2024-04-29	23.225	0.0078	11608213
2024-04-30	20.880	-0.1010	7255340
2024-05-02	19.980	-0.0431	28459495
2024-05-03	20.330	0.0175	28799572
2024-05-06	20.230	-0.0049	14105198
2024-05-07	20.200	-0.0015	7443108
2024-05-08	19.800	-0.0198	8726182
2024-05-09	20.230	0.0217	17242995
2024-05-10	20.280	0.0025	7991078
2024-05-13	21.030	0.0370	7140469
2024-05-14	21.470	0.0209	13203091
2024-05-15	21.375	-0.0044	12997362
2024-05-16	21.170	-0.0096	7642030
2024-05-17	20.790	-0.0179	7724937
2024-05-20	20.675	-0.0055	10343298
2024-05-21	20.435	-0.0116	6315054
2024-05-22	20.395	-0.0020	8584429
2024-05-23	20.360	-0.0017	7883599
2024-05-24	20.550	0.0093	8797884
2024-05-27	20.855	0.0148	6501788
2024-05-28	20.700	-0.0074	6556174
2024-05-29	20.330	-0.0179	7835643
2024-05-30	20.475	0.0071	9064648
2024-05-31	20.200	-0.0134	7302774
2024-06-03	20.140	-0.0030	14042598
2024-06-04	19.926	-0.0106	8382788
2024-06-05	20.180	0.0127	9379341
2024-06-06	20.310	0.0064	8736333
2024-06-07	20.190	-0.0059	7638276
2024-06-10	20.255	0.0032	8264948
2024-06-11	20.075	-0.0089	8603926
2024-06-12	20.220	0.0072	7425820
2024-06-13	19.660	-0.0277	8116352
2024-06-14	18.820	-0.0427	14714341
2024-06-17	18.984	0.0087	19993667
2024-06-18	19.026	0.0022	10226842
2024-06-19	18.980	-0.0024	10027156
2024-06-20	19.074	0.0050	8975549
2024-06-21	19.032	-0.0022	12095138
2024-06-24	19.386	0.0186	26619037
2024-06-25	19.370	-0.0008	7772719
2024-06-26	19.342	-0.0014	9466645
2024-06-27	18.544	-0.0413	10363221
2024-06-28	18.470	-0.0040	12919774
2024-07-01	18.634	0.0089	12109294
2024-07-02	18.208	-0.0229	7179008
2024-07-03	18.316	0.0059	10526848
2024-07-04	18.298	-0.0010	10352354
2024-07-05	18.108	-0.0104	5473232
2024-07-08	18.020	-0.0049	6570531
2024-07-09	18.068	0.0027	6751389
2024-07-10	18.480	0.0228	7066116
